Informant,porch 10.7,Comments,
PA35A,porch,,
PA35B,porch,,
PA35C,porch,,
PA36A,porch,,
PA36B,porch,,
PA37A,porch,,
PA37B,porch,,
PA37C,porch,,
PA38A,porch,,
PA38B,porch,,
PA39A,porch,,
PA39B,porch,,
PA40A,porch,,
PA40B,porch,,
PA41A,porch,,
PA41B,porch,,
PA42A,porch,,
PA42B,porch,,
PA43A,porch,,
PA43B,porch,,
PA44A,porch,,
PA44B,porch,,
PA45A,porch,,
PA45B,porch,,
PA46A,porch,,
PA46B,porch,,
PA46B,portico,small,
PA47A,porch,,
PA47A,portico,small,
PA47B,porch,,
PA48A,porch,,
PA48B,porch,,
PA48B,portico,,
PA48C,porch,,
PA49A,porch,,
PA49B,porch,,
PA50A,porch,,
PA50B,porch,,
PA50C!,porch,,
PA51A,porch,,
PA51B,porch,,
PA52A,porch,,
PA52B!,porch,,
PA53A,porch,,
PA53A,veranda,rare,
PA53B,porch,,
PA54A,porch,,
PA54B,porch,,
PA55A,veranda,,
PA55A,portico,,
PA55A,porch,,
PA55B,porch,,
PA55B,veranda,rare,
PA56A,porch,,
PA56A,porch,,
PA56B,porch,,
PA57A,porch,,
PA57B,porch,,
PA58A,portico,,
PA58A,porch,larger [than portico],
PA58B,porch,,
PA59A,porch,,
PA59B,porch,,
PA60A,porch,,
PA60B,porch,,
PA61A,porch,,
PA61B,porch,,
PA62A,porch,,
PA62B,porch,,
PA63A,porch,,
PA63B,porch,,
PA63B,veranda,"rare, long",
PA64A,porch,,
PA64A,stoop,back,
PA64B,porch,,
PA64B,veranda,wide,
PA64B,stoop,especially back,
PA65A,porch,,
PA65A,veranda,wide,
PA65B,stoop,"small, unroofed",
PA65B,porch,,
PA66A,porch,,
PA66B,porch,,
PA67A,porch,,
PA67A,portico,small,
PA67A,stoop,at back,
PA67B,porch,,
PA67B,veranda,,
PA67B,stoop,smaller [than a veranda],
WV1!,porch,,
WV2,porch,,
WV3,porch,,
WV4A,porch,,
WV4B,porch,,
WV5,porch,,
WV6A,porch,,
WV6B,porch,,
WV7A,porch,,
WV7B,porch,,
WV8A,portico,small,
WV8A,porch,,
WV8B,porch,,
WV8B,portico,small,
WV9A,porch,,
WV9B,porch,,
WV10A,porch,,
WV10B,porch,,
WV10C,porch,,
WV11A,porch,,
WV11B!,porch,,
WV11B!,portico,small,
WV12A,porch,,
WV12A,portico,small,
WV12B,porch,,
WV13A,porch,,
WV13B,porch,,
WV14A,porch,,
WV14B,porch,,
WV15A,porch,,
WV15B,porch,,
WV15B,portico,small,
WV16A,porch,,
WV16B,porch,,
WV17A,porch,,
WV17A,portico,,
WV17B,porch,,
WV17C,porch,,
WV18A,porch,,
WV18B,porch,,
WV19A,porch,,
WV19B,porch,,
WV20A,porch,,
WV20B,porch,,
WV21A,porch,,
WV21B,porch,,
WV22A,porch,,
WV22B,porch,,
WV23A,porch,,
WV23B,porch,,
WV24A,porch,,
WV24B,porch,,
WV25A,porch,,
WV25B,porch,,
WV26A,porch,,
WV26A,portico,small,
WV26B,porch,,
WV27A,porch,,
WV27B,porch,,
WV28A,porch,,
WV28B,porch,,
WV29A,porch,,
WV29B,porch,,
WV30A,porch,,
WV30B,porch,,
WV31A,porch,,
WV31B,porch,,
WV32A,porch,,
WV32B,porch,,
WV33A,porch,,
WV33B,porch,,
WV34A,porch,,
WV34B,porch,,
WV35A,porch,,
WV35B,porch,,
WV36A,porch,,
WV36B,porch,,
WV37A,porch,,
WV37B!,porch,,
WV38A,porch,,
WV38B,porch,,
WV39A,porch,,
WV39A,portico,"""little ones”",
